priority_rank,sector_name,urgency_level,mean_risk_score,primary_recommendation,secondary_recommendation,full_action_package
1,Arang (B-1),CRITICAL (TIER 1),0.6584,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation.,Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation. | Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.
2,Abhanpur (A-1),CRITICAL (TIER 1),0.6511,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation.,Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation. | Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.
3,Arang (B-2),CRITICAL (TIER 1),0.633,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation.,Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation. | Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.
4,Abhanpur (A-2),CRITICAL (TIER 1),0.6063,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation.,Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation. | Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.
5,Raipur Rural (C-1),CRITICAL (TIER 1),0.5236,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation.,Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.,Severe SOC Deficit & Low Clay: Apply 10-12 t/ha Farmyard Manure (FYM) or 3-4 t/ha Biochar + Green Manuring (Dhaincha/Sunnhemp) prior to Kharif paddy + 100% crop residue incorporation. | Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.
6,Raipur Rural (C-2),MODERATE (TIER 2),0.514,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea). | Acidic Stress Neutralization: Apply Agricultural Lime @ 2.0-2.5 t/ha to optimize soil pH and stimulate microbial SOC turnover.
7,Abhanpur (A-3),MODERATE (TIER 2),0.511,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
8,Arang (B-3),MODERATE (TIER 2),0.4938,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
9,Arang (B-4),MODERATE (TIER 2),0.4833,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
10,Raipur Rural (C-3),MODERATE (TIER 2),0.4829,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
11,Arang (B-5),MODERATE (TIER 2),0.4728,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
12,Raipur Rural (C-4),MODERATE (TIER 2),0.4718,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
13,Abhanpur (A-4),MODERATE (TIER 2),0.4705,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
14,Dharsiwa (D-5),MODERATE (TIER 2),0.4669,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
15,Abhanpur (A-5),MODERATE (TIER 2),0.464,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
16,Tilda (E-5),MODERATE (TIER 2),0.4555,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).,N/A,Moderate Carbon Replenishment: Apply 5-6 t/ha FYM + surface mulching (3-4 t/ha paddy straw) + rotate Kharif Paddy with Rabi Legume cover crops (Pigeonpea/Chickpea).
17,Raipur Rural (C-5),STABLE (TIER 3),0.4496,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
18,Dharsiwa (D-4),STABLE (TIER 3),0.445,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
19,Dharsiwa (D-1),STABLE (TIER 3),0.442,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
20,Dharsiwa (D-2),STABLE (TIER 3),0.4392,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
21,Tilda (E-4),STABLE (TIER 3),0.4309,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
22,Tilda (E-1),STABLE (TIER 3),0.4298,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
23,Dharsiwa (D-3),STABLE (TIER 3),0.4281,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.,N/A,Carbon Maintenance Package: Adopt Integrated Nutrient Management (75% RDF + 25% organic manure) with reduced tillage to preserve topsoil carbon stock.
